api,date,time
JCDecaux,17/02/22,16:57:13
JCDecaux,17/02/22,16:57:18
JCDecaux,17/02/22,17:03:17
JCDecaux,17/02/22,17:03:40
JCDecaux,17/02/22,17:03:52
JCDecaux,17/02/22,17:05:18
JCDecaux,17/02/22,17:05:23
JCDecaux,17/02/22,17:05:28
JCDecaux,17/02/22,17:05:33
JCDecaux,17/02/22,17:05:38
JCDecaux,17/02/22,17:05:44
JCDecaux,17/02/22,17:06:09
JCDecaux,17/02/22,17:06:34
JCDecaux,17/02/22,17:06:39
JCDecaux,17/02/22,17:09:28
JCDecaux,17/02/22,17:09:33
JCDecaux,17/02/22,17:09:38
JCDecaux,17/02/22,17:09:44
JCDecaux,17/02/22,17:09:49
JCDecaux,17/02/22,17:09:54
JCDecaux,20/02/22,16:28:27
JCDecaux,20/02/22,16:41:55
JCDecaux,20/02/22,16:42:04
JCDecaux,20/02/22,16:47:04
JCDecaux,20/02/22,16:52:07
JCDecaux,20/02/22,18:52:24
JCDecaux,20/02/22,18:57:25
JCDecaux,20/02/22,19:01:51
JCDecaux,20/02/22,19:06:51
JCDecaux,20/02/22,19:11:51
JCDecaux,20/02/22,19:18:34
JCDecaux,20/02/22,19:21:22
JCDecaux,20/02/22,19:52:03
JCDecaux,20/02/22,20:03:19
JCDecaux(D),22/02/22,15:51:21
JCDecaux(D),22/02/22,15:52:06
JCDecaux(D),22/02/22,15:53:11
JCDecaux(D),22/02/22,15:54:16
JCDecaux(D),22/02/22,15:55:22
JCDecaux(D),22/02/22,15:56:27
JCDecaux(D),22/02/22,15:57:32
JCDecaux(D),22/02/22,15:58:37
