api,date,time
MetEireann,17/02/22,17:13:31
MetEireann,20/02/22,17:14:49
MetEireann,20/02/22,17:22:48
MetEireann,20/02/22,17:23:20
MetEireann,20/02/22,17:24:00
MetEireann,20/02/22,17:24:49
MetEireann,20/02/22,17:26:41
MetEireann,20/02/22,17:39:02
MetEireann,20/02/22,17:39:46
MetEireann,20/02/22,17:45:54
MetEireann,20/02/22,17:50:45
MetEireann,20/02/22,17:54:15
MetEireann,20/02/22,18:01:32
MetEireann,20/02/22,18:09:18
MetEireann,20/02/22,18:12:17
MetEireann,20/02/22,18:19:39
MetEireann,20/02/22,18:22:52
MetEireann,20/02/22,18:23:26
MetEireann,20/02/22,18:24:32
MetEireann,20/02/22,18:25:42
MetEireann,22/02/22,13:34:19
MetEireann,22/02/22,13:36:15
MetEireann,22/02/22,14:36:23
