api,date,time
MetEireann,17/02/22,17:12:31
MetEireann,17/02/22,17:14:07
MetEireann,20/02/22,16:25:04
MetEireann,20/02/22,17:12:59
MetEireann,20/02/22,17:15:48
MetEireann,20/02/22,17:17:08
MetEireann,20/02/22,17:18:27
MetEireann,20/02/22,17:24:26
MetEireann,20/02/22,17:26:06
MetEireann,20/02/22,17:27:15
MetEireann,20/02/22,17:30:14
MetEireann,20/02/22,17:30:49
MetEireann,20/02/22,17:43:35
MetEireann,20/02/22,17:53:01
MetEireann,20/02/22,17:53:54
MetEireann,20/02/22,17:54:55
MetEireann,20/02/22,18:00:33
MetEireann,20/02/22,18:01:47
MetEireann,20/02/22,18:10:44
MetEireann,20/02/22,18:11:28
MetEireann,20/02/22,18:11:45
MetEireann,20/02/22,18:21:56
MetEireann,20/02/22,18:25:02
MetEireann,20/02/22,18:28:54
